光纤位置,mean_angle,std_angle,skew_angle,kurt_angle,range_angle,q25_angle,q50_angle,q75_angle,max_angle,min_angle,angle_change_rate,neg_value_ratio,neg_value_mean,pos_value_mean,pos_neg_contrast,dominant_freq,spectral_centroid,spectral_bandwidth,wavelet_energy_low,wavelet_energy_high,wavelet_energy_ratio,angle_gradient,failure_angle_est,failure_span,failure_start_angle,failure_end_angle,failure_intensity,circular_correlation,small_window_std,sequence_autocorr,residual_std,attention_weight
11.31874,128.90180444444445,3.1618533411104535,0.03877600445078494,-0.6471722192235898,11.104869999999991,126.95197,128.80278,130.72216,134.42378,123.31891,0.16965799999999973,0.0,0.0,128.90180444444445,128.90180444444445,0.0,0.08674208503489175,0.13629633648108117,0.275866965584895,0.008145121400076897,0.9713212152916576,0.8482899999999987,,0.0,,,0.0,0.0,0.023647088854198733,0.7980198202530279,2.796762825129205,1.0
11.60762,128.61237555555556,3.274554537728453,-0.025499654598592256,-0.6199074425501276,11.58471999999999,126.47213,128.66568,130.92781,134.28669,122.70197,0.17479949999999994,0.0,0.0,128.61237555555556,128.61237555555556,0.0,0.09911320035254796,0.1353692242437378,0.24384496187908483,0.006102267634172693,0.9755857756710699,0.8739974999999998,,0.0,,,0.0,0.0,0.014478644803254562,0.8548773099207976,2.8642687770280983,1.0
11.8965,128.45242777777779,3.2361681287795268,0.0588681318672793,-0.5857401508903082,11.447619999999986,126.47213,128.46003,130.17377,134.14959,122.70197,0.17651299999999956,0.0,0.0,128.45242777777779,128.45242777777779,0.0,0.10701454226017985,0.14507770264351072,0.21453425265035644,0.006364031183453115,0.9711902185471026,0.8825649999999978,,0.0,,,0.0,0.0,0.019615011208988203,0.8353326737870279,2.874439172761435,1.0
12.18539,127.93450444444443,3.1189447258295924,0.15173189997705613,-0.6673182612066832,10.899239999999992,125.51245,127.98019,129.69393,133.53265,122.63341,0.16965799999999973,0.0,0.0,127.93450444444443,127.93450444444443,0.1111111111111111,0.12981949810645185,0.1449951821267017,0.18028342618837304,0.01048379979097513,0.9450440198432487,0.8482899999999987,,0.0,,,0.0,0.0,0.014423721829857555,0.827593450936934,2.7353633188748714,1.0
12.47427,127.3328,3.113433919970399,0.15926993896969602,-0.6078100096337478,10.967790000000008,125.16971,127.43181,129.14554,132.98426,122.01647,0.16623075000000007,0.0,0.0,127.3328,127.3328,0.1111111111111111,0.16660276551983003,0.13951342070937003,0.1792266183968262,0.014890963972058826,0.9232889474375887,0.8311537500000004,,0.0,,,0.0,0.0,0.019611817080749324,0.8152844143407157,2.7306955497042926,1.0
12.76315,126.64731444444445,3.2454605478699348,0.08864662753026589,-0.6361079638300238,11.379079999999988,124.62131,126.60923,128.6657,132.43587,121.05679,0.16280324999999998,0.0,0.0,126.64731444444445,126.64731444444445,0.1111111111111111,0.17609310767604913,0.13146636377652793,0.2357343642896422,0.01738248853983803,0.9313262296103181,0.8140162499999999,,0.0,,,0.0,0.0,0.03472877152965524,0.8031282331322153,2.86637944721483,1.0
13.05204,125.36773888888888,3.223723208349983,0.12057245293628961,-0.840434106593936,10.83068999999999,123.45599,125.10115,127.50037,130.9278,120.09711,0.15766199999999983,0.0,0.0,125.36773888888888,125.36773888888888,0.1111111111111111,0.1251764045269791,0.13568937425176483,0.4833363974945827,0.026170175138107092,0.9486362362358824,0.7883099999999992,,0.0,,,0.0,0.0,0.038884141850526965,0.8026608668348814,2.8417443431407823,1.0
13.34092,124.17956222222223,3.31690508159096,0.03614451183612198,-0.7435224981944315,11.44762999999999,122.56485,123.38745,126.67779,129.83102,118.38339,0.16108924999999985,0.0,0.0,124.17956222222223,124.17956222222223,0.0,0.10396266881339604,0.1323996551097653,0.8612013556761776,0.04481017236549911,0.9505412778163989,0.8054462499999993,,0.0,,,0.0,0.0,0.023995367956794605,0.7769739437181257,2.9709321371954918,1.0
13.6298,123.96630111111114,3.250925387377992,0.020578234248980243,-0.8180932188089378,11.036339999999981,122.49631,123.25035,126.54069,129.41973,118.38339,0.15423449999999975,0.0,0.0,123.96630111111114,123.96630111111114,0.0,0.1018996228948186,0.1317792371540823,0.981075793166299,0.052229694895772616,0.949453771808884,0.7711724999999987,,0.0,,,0.0,0.0,0.03207362987770716,0.7624852660717082,2.8818755644600462,1.0
13.91869,123.66925777777777,3.371910440232747,0.010741172475102978,-0.9976260467200029,10.830699999999993,122.56486,122.83905,126.33505,129.07699,118.24629,0.16280324999999998,0.0,0.0,123.66925777777777,123.66925777777777,0.0,0.09897650914260002,0.12794081972743482,1.1742731970204114,0.047085243805484185,0.9614484639989964,0.8140162499999999,,0.0,,,0.0,0.0,0.048527942322004566,0.7933342101687497,2.927844427256274,1.0
14.20757,124.00438333333334,3.5339344634494196,-0.12071071279280646,-0.964912605250039,11.241989999999987,122.97615,123.52454,126.81489,129.55683,118.31484,0.16451699999999966,0.0,0.0,124.00438333333334,124.00438333333334,0.0,0.10607049062884007,0.12906187247888856,1.0845504930502088,0.05191607534489989,0.9543179914974126,0.8225849999999983,,0.0,,,0.0,0.0,0.07333205310515035,0.7551070167076178,3.0344984827772734,1.0
14.49645,124.05008444444447,3.4408137058618706,-0.05711372627219592,-0.9249288247052392,11.173439999999985,122.9076,123.52454,126.33505,129.55683,118.38339,0.1662307499999997,0.0,0.0,124.05008444444447,124.05008444444447,0.0,0.10448164433197142,0.12852796162633168,0.9814150585211815,0.04711375477745318,0.9541930626894426,0.8311537499999986,,0.0,,,0.0,0.0,0.06113510698539079,0.7661521958452921,3.021555401066376,1.0
14.78534,123.80635555555556,3.495528377335538,-0.1500135604089593,-0.8788848474276039,11.516189999999995,122.70196,123.31889,126.40359,129.41974,117.90355,0.16108974999999964,0.0,0.0,123.80635555555556,123.80635555555556,0.0,0.10828444509520611,0.13509161859057733,1.1130058712518907,0.07009797280874275,0.940750785947725,0.8054487499999983,,0.0,,,0.0,0.0,0.07306641332627029,0.6925199683892123,3.071004624458702,1.0
15.07422,123.82158888888888,3.3012702932539444,-0.07480897413416836,-0.6021434036653579,11.584739999999996,122.77051,123.38744,125.92375,129.55684,117.9721,0.16451724999999975,0.0,0.0,123.82158888888888,123.82158888888888,0.0,0.10959758248381195,0.13768364131300884,1.0889319650316267,0.08632648644416177,0.926546806425076,0.8225862499999987,,0.0,,,0.0,0.0,0.04637606505843281,0.6644679065816118,2.909172067770198,1.0
15.3631,123.59309333333333,3.234000717140713,-0.02353209935949647,-0.6401250664583316,11.310539999999989,122.29067,123.18179,125.78665,129.28264,117.9721,0.16280324999999962,0.0,0.0,123.59309333333333,123.59309333333333,0.0,0.1104359066662084,0.1394372703856568,1.1977126043293747,0.10882976498599012,0.9167039909048736,0.8140162499999981,,0.0,,,0.0,0.0,0.04358838952000785,0.6279432107818719,2.847072121715858,1.0
15.65199,122.99138888888888,3.3295790511162355,-0.1395027513332869,-0.6786246261130526,11.584729999999993,121.53663,122.83905,125.58101,128.59715,117.01242,0.16280324999999998,0.0,0.0,122.99138888888888,122.99138888888888,0.0,0.10210113445137883,0.13579152682003576,1.545357865498595,0.12032914339450283,0.9277600516514556,0.8140162499999999,,0.0,,,0.0,0.0,0.042512345765203303,0.631668767340254,2.9302101484343157,1.0
15.94087,123.44076444444444,3.2466927272434907,0.006169109229381769,-0.5050525502432257,11.653279999999981,121.94793,123.11325,125.8552,129.28264,117.62936,0.17137174999999977,0.0,0.0,123.44076444444444,123.44076444444444,0.0,0.10866424255326822,0.13784492680791544,1.3000284088223177,0.12359044002657045,0.9131857236803081,0.8568587499999989,,0.0,,,0.0,0.0,0.023784871841905295,0.6201678885718189,2.843847801171701,1.0
16.22975,123.10563777777777,3.3389211390899507,-0.04275211920713828,-0.4892542281107173,11.996020000000001,121.74228,123.25035,125.30681,129.07699,117.08097,0.18165399999999998,0.0,0.0,123.10563777777777,123.10563777777777,0.0,0.11010084631445702,0.13915896619658394,1.6109056489304503,0.1620174828932065,0.9086156189877141,0.9082699999999999,,0.0,,,0.0,0.0,0.031089924499498666,0.5886537099678355,2.8348952227823747,1.0
16.51864,122.64864333333334,3.3897178412139906,0.037711765958581014,-0.3261911568720093,12.475859999999997,120.98824,122.83906,124.75841,128.93989,116.46403,0.19879124999999967,0.0,0.0,122.64864333333334,122.64864333333334,0.0,0.10793410047966646,0.1388856874019355,1.901513275718401,0.18095306563442715,0.9131063671318762,0.9939562499999983,,0.0,,,0.0,0.0,0.03236936831565168,0.5776808393607409,2.883690394040216,1.0
16.80752,122.71719333333334,3.326912433102703,-0.011463409925108999,-0.20968106422333932,12.407320000000013,120.98824,122.42777,124.89551,128.87135,116.46403,0.19707775000000005,0.0,0.0,122.71719333333334,122.71719333333334,0.0,0.10971746107128272,0.14137288485967986,1.8249349697048225,0.15659772513416248,0.920971414888017,0.9853887500000003,,0.0,,,0.0,0.0,0.0388971582349653,0.5879599629459681,2.8514877969810217,1.0
17.0964,123.0751711111111,3.2944761769646607,0.060823810247637486,-0.41910242130577213,11.996020000000016,121.12534,123.04471,125.51245,129.14554,117.14952,0.20050500000000043,0.0,0.0,123.0751711111111,123.0751711111111,0.0,0.11021148175562442,0.14028977754289593,1.6101314895871748,0.1441176221205815,0.9178465468498552,1.002525000000002,,0.0,,,0.0,0.0,0.04002463903945756,0.6166864435787294,2.7824105220930586,1.0
17.38529,123.4483811111111,3.345792915895171,-0.029538271887254473,-0.2619931925762913,12.407309999999995,121.53663,123.11326,125.92375,129.55683,117.14952,0.2005049999999997,0.0,0.0,123.4483811111111,123.4483811111111,0.0,0.11375973340536458,0.14169507458127936,1.356125098680727,0.11549563918782146,0.9215180675917535,1.0025249999999986,,0.0,,,0.0,0.0,0.0444654597923957,0.62399350194278,2.8908850886688042,1.0
17.67417,124.1871788888889,3.265168180720196,-0.005493692435197354,-0.2897412397930421,12.06456999999999,122.42775,123.52455,126.60923,130.17377,118.1092,0.19365049999999967,0.0,0.0,124.1871788888889,124.1871788888889,0.0,0.12222128618445209,0.14384521343574366,1.003545839632071,0.09503913121085963,0.9134895034752877,0.9682524999999984,,0.0,,,0.0,0.0,0.03306216991968468,0.645923791539515,2.788242905819741,1.0
17.96305,124.53753999999998,3.2614518354663287,0.03966168043189387,-0.37775062263379233,11.927470000000014,122.97614,123.73019,126.88343,130.51651,118.58904,0.18850925000000024,0.0,0.0,124.53753999999998,124.53753999999998,0.0,0.12456404913539476,0.14461630666881772,0.8153669520448188,0.08051038810786826,0.9101323534032462,0.9425462500000013,,0.0,,,0.0,0.0,0.027306389501537645,0.6629892668216597,2.819051207739019,1.0
18.25193,124.84219777777778,3.1858161618188463,0.09689193736075656,-0.2338936498296893,11.858919999999998,123.52453,123.79873,127.15761,130.85925,119.00033,0.18336800000000011,0.0,0.0,124.84219777777778,124.84219777777778,0.0,0.1369436241134587,0.14833966303415377,0.6739693827335456,0.09895601929226033,0.8719720957286462,0.9168400000000005,,0.0,,,0.0,0.0,0.02286827722174944,0.5763389131611825,2.801868098293505,1.0
