光纤位置,0,5,10,15,20,25,30,35,40
41.65148,126.47213,126.06084,129.83102,133.12134,121.0568,124.96407,126.74632,130.9278,133.327
41.94036,127.02052,126.74633,130.44796,133.87538,121.46809,125.58101,127.22617,131.95603,134.28668
42.22925,127.50036,126.40359,130.65361,134.08103,122.49632,126.19795,127.63746,132.98426,134.90362
42.51813,128.25439,127.50037,131.27054,135.24635,123.86729,126.67779,128.80279,133.60119,135.52056
42.80701,128.18585,127.02053,131.27054,135.10926,122.90761,126.12939,128.87133,133.53265,135.31491
43.0959,128.1173,127.77456,131.40764,134.83507,123.52455,126.12939,129.28263,133.66974,135.58911
43.38478,127.84311,127.43182,130.85925,134.28668,123.25035,125.51245,128.87133,133.87538,135.58911
43.67366,127.63747,127.29472,130.58505,134.21813,123.93584,125.37536,128.93989,133.39554,134.97217
43.96255,127.63747,127.70601,130.58505,134.08103,124.27858,124.89552,129.41973,133.32699,134.76653
44.25143,127.02053,127.29472,130.03667,133.53265,123.79874,124.21003,128.52859,132.9157,133.94395
44.54031,126.88343,127.70601,129.83102,133.25845,123.04471,124.00439,127.77456,132.36731,133.66975
44.8292,126.54069,127.29472,129.48828,132.84716,123.11326,124.00439,127.98021,131.68182,133.46411
45.11808,126.60923,127.36327,129.69393,133.327,122.63342,123.52455,128.32295,131.40763,133.39556
45.40696,127.15762,128.04875,130.10521,133.4641,122.22213,123.86729,128.32295,131.95601,133.60121
45.69585,127.08907,127.91165,130.03666,133.39555,122.22213,123.66165,128.52859,131.68182,133.80685
45.98473,126.26649,127.43181,129.35117,132.98425,121.26245,122.97616,128.04875,131.13343,133.73829
46.27361,125.30681,127.15762,128.52859,131.95602,120.85116,122.56487,126.88343,129.96811,133.05281
46.5625,125.37535,128.04875,128.66569,131.81892,120.85116,122.35922,127.36327,130.17375,133.05281
46.85138,126.19794,128.59713,129.28263,132.57295,121.4681,123.38745,128.46005,130.79069,133.87539
47.14026,127.08907,129.69391,130.17376,133.46409,122.70197,124.89552,129.83102,131.75037,135.04071
47.42915,127.50036,129.62537,130.31086,133.80683,121.94793,125.23827,129.41973,132.09312,135.45201
47.71803,127.08907,129.28262,130.51651,133.73829,121.60519,125.44391,128.87134,131.40763,135.04071
48.00691,125.58099,127.91165,129.41973,132.71006,119.75438,124.21003,126.95198,130.17375,133.94393
48.2958,124.14147,126.81487,128.1173,131.13345,117.69793,122.63341,124.68987,129.00843,132.50441
48.58468,123.59309,125.92373,127.70601,129.96812,116.25841,121.94793,123.86729,128.52859,131.47618
48.87356,122.42776,124.55276,126.54068,128.6657,115.77857,121.0568,122.90761,127.91165,130.85924
49.16245,121.53663,123.31889,125.78664,127.77457,114.06485,119.61728,121.46809,126.47213,129.83101
49.45133,120.50841,122.35921,124.48421,126.33505,112.96807,118.93179,120.57697,125.51245,128.80277
49.74021,118.93179,120.43985,123.04469,125.10117,112.35114,117.56082,118.9318,123.66164,127.5689
50.0291,118.10921,119.20597,122.35921,124.21004,112.14549,116.87533,117.90357,122.63341,126.54067
50.31798,117.62937,118.52049,121.81082,123.66165,111.5971,115.91565,116.87535,121.81082,125.71809
50.60686,117.76647,118.10919,121.74227,124.07295,111.39145,115.57291,117.28663,122.01647,125.92374
50.89575,118.38341,118.45194,121.94792,124.62133,111.80274,116.53259,117.42373,122.08501,126.19793
51.18463,117.56082,117.76645,121.33098,123.93585,110.98015,115.29872,116.2584,121.46807,125.51245
51.47351,116.73824,116.94387,120.50839,123.31891,110.63741,114.33904,114.95597,120.37129,124.48422
51.7624,115.91565,115.84709,119.54871,122.63343,110.50032,113.37936,114.68178,119.00032,123.59309
52.05128,115.50436,115.29871,118.86322,122.01649,109.47209,112.48823,113.7221,118.52048,122.7705
52.34016,115.57291,115.43581,118.58903,121.74229,109.26645,112.07694,113.65355,118.72613,122.83905
52.62905,115.23016,115.23016,118.38338,121.60519,109.19789,112.00839,113.72209,117.97209,122.56485
52.91793,115.09307,115.02451,118.45193,122.15357,109.54063,112.14549,114.13339,117.56081,122.9076
53.20681,115.43581,115.36726,118.86322,122.49631,109.88337,112.35113,114.68177,117.835,122.97615
53.4957,116.12129,116.66969,119.41161,123.1818,111.11725,113.31081,115.36726,119.41162,123.86728
53.78458,116.60113,117.21807,120.02855,123.59309,111.87129,113.65355,115.43581,119.89146,124.48422
54.07346,117.42371,118.1092,120.78259,124.14147,112.69387,114.33903,116.87533,121.19389,125.3068
54.36235,118.04065,119.00033,121.33098,124.75841,112.62532,114.88743,117.69791,121.46809,125.92374
54.65123,118.72614,119.82292,122.08501,125.4439,113.24226,115.36727,118.52049,122.49632,126.47213
54.94011,118.86323,120.09711,122.35921,125.64955,113.585,115.64146,118.52049,123.04471,126.74632
55.229,118.04065,119.06888,121.74227,124.48422,112.83097,114.27049,117.90355,122.08503,125.71809
55.51788,117.56081,119.41163,121.39953,124.21002,112.62532,114.20193,117.835,121.94793,125.581
55.80676,117.28661,119.61727,121.26243,124.27857,112.00838,113.99629,117.42371,121.81084,125.4439
56.09565,117.49226,119.75437,121.87937,124.75841,112.35112,114.75032,117.76646,122.22213,125.78665
56.38453,117.76646,120.16566,122.35921,125.10115,113.24225,114.95597,118.79469,122.70197,126.06084
56.67341,118.65759,120.5084,123.25035,125.51244,114.06483,115.64145,119.82292,123.52456,126.81488
56.9623,119.96002,121.67373,124.75842,126.33503,115.70999,116.73823,121.39954,124.96408,127.98021
57.25118,121.05679,122.83905,125.78665,127.43181,116.87532,117.76647,122.22212,126.60925,129.28263
57.54006,121.74228,123.66163,126.67779,128.11729,117.35516,118.24631,122.35921,126.67779,129.89957
57.82895,122.15357,123.31889,126.95198,128.32294,117.62935,118.5205,122.49631,126.54069,130.24231
